epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,2628.32,0.68511,0.47312,1.0314,0.92788,0.83825,0.90831,0.72355,0.92821,0.59696,1.28501,0.000156145,0.000156145,0.000156145
163,2644.23,0.69185,0.47503,1.01946,0.88581,0.88486,0.91145,0.72271,0.94254,0.60637,1.29614,0.000152339,0.000152339,0.000152339
164,2660.38,0.66909,0.46302,1.02336,0.91504,0.85612,0.904,0.71614,0.96742,0.60632,1.31841,0.000148532,0.000148532,0.000148532
165,2677.22,0.67291,0.47385,1.03225,0.90432,0.86521,0.89914,0.7229,0.9469,0.61604,1.29323,0.000144726,0.000144726,0.000144726
166,2693.85,0.63298,0.44612,1.01548,0.90152,0.86816,0.9029,0.71951,0.94765,0.59802,1.29725,0.000140919,0.000140919,0.000140919
167,2710.01,0.68423,0.4743,1.01679,0.89343,0.882,0.91329,0.72757,0.95277,0.59923,1.32855,0.000137113,0.000137113,0.000137113
168,2726.16,0.62674,0.45103,1.01956,0.91357,0.85196,0.90743,0.71931,0.98247,0.6236,1.31839,0.000133306,0.000133306,0.000133306
169,2742.22,0.66796,0.46676,1.03592,0.94088,0.8284,0.90549,0.71832,0.98291,0.60018,1.31882,0.0001295,0.0001295,0.0001295
170,2758.89,0.68159,0.46328,1.03232,0.91724,0.84518,0.90319,0.72437,0.96569,0.58981,1.29863,0.000125693,0.000125693,0.000125693
171,2775.51,0.64916,0.44597,1.0144,0.92053,0.84049,0.90726,0.7293,0.93633,0.56843,1.27348,0.000121887,0.000121887,0.000121887
172,2791.49,0.6906,0.45135,1.02093,0.89959,0.87485,0.90939,0.72986,0.93484,0.57598,1.27295,0.00011808,0.00011808,0.00011808
173,2807.49,0.62182,0.45509,1.02476,0.9104,0.83662,0.90853,0.72421,0.95594,0.5908,1.28688,0.000114273,0.000114273,0.000114273
174,2823.6,0.67351,0.46541,1.02844,0.92741,0.84581,0.91024,0.71869,0.94415,0.60628,1.27755,0.000110467,0.000110467,0.000110467
175,2840.27,0.64234,0.45037,1.01096,0.91808,0.84558,0.91157,0.72394,0.93061,0.60052,1.26908,0.00010666,0.00010666,0.00010666
